# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-03 17:39:19 12925044 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000137280  0.948683298  0.316227766  0.000000000000000000 -31.622776602   0.000000000  31.622776602  0.000000999516963   106.066017  0.000000000000000 
     1     0.001000  0.000137280  0.000137288  0.948657241  0.316305925  0.000000000000000000 -31.623645182  31.623645182  31.623645182  0.000000999777906   105.935037 31.623645181967504 
     2     0.002000  0.000274568  0.000137262  0.948631164  0.316384126  0.000000000000056843 -31.624514508  23.091113956  31.624514508  0.000000999537303   105.804180 23.091113955838431 
     3     0.003000  0.000411831  0.000137270  0.948605072  0.316462348  0.000000000000000000 -31.625384363  26.401790999  31.625384363  0.000000999778658   105.673479 26.401790998709178 
     4     0.004000  0.000549100  0.000137242  0.948578959  0.316540611  0.000000000000000000 -31.626254956  30.174646171  31.626254956  0.000000999508454   105.542904 30.174646170924163 
     5     0.005000  0.000686342  0.000137247  0.948552832  0.316618895  0.000000000000000000 -31.627126065  31.627126065  31.627126065  0.000000999730177   105.412486 31.627126065055045 
     6     0.006000  0.000823589  0.000137253  0.948526685  0.316697219  0.000000000000056843 -31.627997906  31.627997906  31.627997906  0.000000999944282   105.282195 31.627997905864571 
     7     0.007000  0.000960842  0.000137222  0.948500517  0.316775582  0.000000000000000000 -31.628870475  31.628870475  31.628870475  0.000000999632729   105.152029 31.628870475451230 
     8     0.008000  0.001098064  0.000137226  0.948474336  0.316853964  0.000000000000000000 -31.629743545  31.629743545  31.629743545  0.000000999827143   105.022025 31.629743544978012 
     9     0.009000  0.001235290  0.000137193  0.948448134  0.316932385  0.000000000000000000 -31.630617336  31.630617336  31.630617336  0.000000999485953   104.892148 31.630617335902340 
    10     0.010000  0.001372483  0.000137195  0.948421920  0.317010824  0.000000000000056843 -31.631491615  31.631491615  31.631491615  0.000000999660641   104.762432 31.631491614669191 
    11     0.011000  0.001509678  0.000137197  0.948395685  0.317089300 -0.000000000000056843 -31.632366607  31.632366607  31.632366607  0.000000999827662   104.632846 31.632366607385219 
    12     0.012000  0.001646875  0.000137199  0.948369431  0.317167815  0.000000000000000000 -31.633242311  31.633242311  31.633242311  0.000000999987009   104.503388 31.633242311429090 
    13     0.013000  0.001784074  0.000137162  0.948343156  0.317246368  0.000000000000000000 -31.634118724  31.634118724  31.634118724  0.000000999592652   104.374060 31.634118724167489 
    14     0.014000  0.001921237  0.000137162  0.948316870  0.317324936 -0.000000000000056843 -31.634995603  31.634995603  31.634995603  0.000000999732207   104.244897 31.634995603406296 
    15     0.015000  0.002058399  0.000137162  0.948290563  0.317403541 -0.000000000000056843 -31.635873184  31.635873184  31.635873184  0.000000999864062   104.115864 31.635873183765959 
    16     0.016000  0.002195561  0.000137161  0.948264237  0.317482182  0.000000000000000000 -31.636751463  31.636751463  31.636751463  0.000000999988209   103.986962 31.636751462572441 
    17     0.017000  0.002332722  0.000137121  0.948237892  0.317560860  0.000000000000000000 -31.637630437  31.637630437  31.637630437  0.000000999540642   103.858191 31.637630437139840 
    18     0.018000  0.002469843  0.000137119  0.948211535  0.317639551 -0.000000000000056843 -31.638509857  31.638509857  31.638509857  0.000000999644940   103.729588 31.638509856605122 
    19     0.019000  0.002606962  0.000137116  0.948185159  0.317718278  0.000000000000000000 -31.639389964  31.639389964  31.639389964  0.000000999741508   103.601117 31.639389964132985 
    20     0.020000  0.002744078  0.000137112  0.948158764  0.317797041  0.000000000000000000 -31.640270757  31.640270757  31.640270757  0.000000999830340   103.472779 31.640270756996866 
    21     0.021000  0.002881190  0.000137108  0.948132349  0.317875838 -0.000000000000056843 -31.641152232  31.641152232  31.641152232  0.000000999911427   103.344574 31.641152232458477 
    22     0.022000  0.003018298  0.000137104  0.948105916  0.317954670  0.000000000000000000 -31.642034388  31.642034388  31.642034388  0.000000999984764   103.216503 31.642034387767804 
    23     0.023000  0.003155402  0.000137059  0.948079464  0.318033536  0.000000000000000000 -31.642917220  31.642917220  31.642917220  0.000000999460381   103.088565 31.642917220162929 
    24     0.024000  0.003292461  0.000137053  0.948053001  0.318112413  0.000000000000000000 -31.643800466  31.643800466  31.643800466  0.000000999513797   102.960800 31.643800466131527 
    25     0.025000  0.003429514  0.000137046  0.948026520  0.318191323  0.000000000000056843 -31.644684381  31.644684381  31.644684381  0.000000999559445   102.833169 31.644684381307318 
    26     0.026000  0.003566560  0.000137040  0.948000020  0.318270267  0.000000000000000000 -31.645568963  31.645568963  31.645568963  0.000000999597318   102.705673 31.645568962887968 
    27     0.027000  0.003703600  0.000137032  0.947973501  0.318349243  0.000000000000000000 -31.646454208  31.646454208  31.646454208  0.000000999627411   102.578314 31.646454208059506 
    28     0.028000  0.003840632  0.000137024  0.947946965  0.318428253  0.000000000000000000 -31.647340114  31.647340114  31.647340114  0.000000999649717   102.451090 31.647340113996155 
    29     0.029000  0.003977656  0.000137016  0.947920410  0.318507295  0.000000000000000000 -31.648226678  31.648226678  31.648226678  0.000000999664231   102.324003 31.648226677860418 
    30     0.030000  0.004114671  0.000137007  0.947893837  0.318586369  0.000000000000056843 -31.649113897  31.649113897  31.649113897  0.000000999670949   102.197052 31.649113896803097 
    31     0.031000  0.004251678  0.000136997  0.947867246  0.318665475  0.000000000000000000 -31.650001768  31.650001768  31.650001768  0.000000999669864   102.070239 31.650001767963193 
    32     0.032000  0.004388675  0.000136987  0.947840637  0.318744612  0.000000000000056843 -31.650890288  31.650890288  31.650890288  0.000000999660972   101.943564 31.650890288468140 
    33     0.033000  0.004525662  0.000136976  0.947814010  0.318823780  0.000000000000000000 -31.651779455  31.651779455  31.651779455  0.000000999644268   101.817026 31.651779455433516 
    34     0.034000  0.004662638  0.000136965  0.947787365  0.318902980  0.000000000000000000 -31.652669266  31.652669266  31.652669266  0.000000999619748   101.690627 31.652669265963326 
    35     0.035000  0.004799603  0.000136953  0.947760703  0.318982210  0.000000000000000000 -31.653559717  31.653559717  31.653559717  0.000000999587407   101.564367 31.653559717149822 
    36     0.036000  0.004936556  0.000136941  0.947734023  0.319061471  0.000000000000056843 -31.654450806  31.654450806  31.654450806  0.000000999547240   101.438245 31.654450806073594 
    37     0.037000  0.005073497  0.000136928  0.947707325  0.319140761  0.000000000000000000 -31.655342530  31.655342530  31.655342530  0.000000999499244   101.312264 31.655342529803523 
    38     0.038000  0.005210426  0.000136915  0.947680610  0.319220082  0.000000000000000000 -31.656234885  31.656234885  31.656234885  0.000000999443416   101.186422 31.656234885396909 
    39     0.039000  0.005347340  0.000136901  0.947653878  0.319299432  0.000000000000000000 -31.657127870  31.657127870  31.657127870  0.000000999379750   101.060720 31.657127869899330 
    40     0.040000  0.005484241  0.000136932  0.947627129  0.319378811  0.000000000000000000 -31.658021480  31.658021480  31.658021480  0.000000999966136   100.935160 31.658021480344754 
    41     0.041000  0.005621173  0.000136917  0.947600353  0.319458245  0.000000000000000000 -31.658916008  31.658916008  31.658916008  0.000000999891144   100.809698 31.658916008173232 
    42     0.042000  0.005758090  0.000136902  0.947573561  0.319537707  0.000000000000000000 -31.659811158  31.659811158  31.659811158  0.000000999808302   100.684379 31.659811158372545 
